epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,382.546,0.28278,0.3708,0.89974,0.93428,0.90808,0.95847,0.91179,0.31333,0.50132,0.86447,0.00025375,0.00025375,0.00025375
62,458.524,0.31094,0.44088,0.91156,0.94459,0.91709,0.96882,0.92741,0.30628,0.38751,0.85892,0.000247563,0.000247563,0.000247563
63,533.8,0.34092,0.50673,0.92461,0.93866,0.92702,0.96907,0.93024,0.30569,0.39603,0.86645,0.000241375,0.000241375,0.000241375
64,600.331,0.31902,0.47212,0.91612,0.93457,0.91431,0.96156,0.92188,0.30458,0.45289,0.86102,0.000235188,0.000235188,0.000235188
65,645.379,0.3214,0.47778,0.91958,0.95836,0.89784,0.96938,0.92905,0.29863,0.35847,0.85906,0.000229,0.000229,0.000229
66,691.178,0.31449,0.48691,0.91884,0.93308,0.93376,0.95326,0.91675,0.30127,0.43167,0.86289,0.000222813,0.000222813,0.000222813
67,736.884,0.31932,0.47855,0.92348,0.93538,0.93921,0.97135,0.9287,0.29854,0.3716,0.85623,0.000216625,0.000216625,0.000216625
68,789.626,0.32302,0.50176,0.92375,0.93079,0.92667,0.9738,0.93599,0.29402,0.39783,0.8532,0.000210437,0.000210437,0.000210437
69,840.181,0.32962,0.5207,0.91864,0.92913,0.94504,0.97305,0.93684,0.28835,0.42359,0.85,0.00020425,0.00020425,0.00020425
70,889.51,0.32157,0.48726,0.92268,0.94668,0.91172,0.96341,0.92643,0.29141,0.42896,0.85407,0.000198063,0.000198063,0.000198063
